CO_CURSO,NO_CURSO
21271,CIENCIA DA COMPUTACAO
27326,JORNALISMO
31336,COMUNICACAO SOCIAL   PUBLICIDADE E PROPAGANDA
49052,PSICOLOGIA
49533,FARMACIA
56085,ENFERMAGEM
56087,ENGENHARIA DE PETROLEO
56141,CIENCIAS BIOLOGICAS
88116,DESIGN DE PRODUTO
98406,MEDICINA
106552,ARQUITETURA E URBANISMO
112274,DESIGN DE MODA
112296,ESTETICA E COSMETICA
112310,GESTAO PORTUARIA
117050,EDUCACAO FISICA
121786,ENGENHARIA QUIMICA
122809,ODONTOLOGIA
123018,GASTRONOMIA
1117182,ENGENHARIA CIVIL
1125139,PEDAGOGIA
1125157,ENGENHARIA MECANICA
1126680,GESTAO DE RECURSOS HUMANOS
1150197,ENGENHARIA ELETRICA
1150257,FOTOGRAFIA
1179673,GEOLOGIA
1186927,ARTES CENICAS
1262217,GESTAO DE RECURSOS HUMANOS
1262218,COMERCIO EXTERIOR
1429905,GESTAO FINANCEIRA
1450670,ADMINISTRACAO
1450864,NUTRICAO
1452144,LOGISTICA
1452146,PEDAGOGIA
1452147,GESTAO PORTUARIA
1457191,ENGENHARIA DE PRODUCAO
15333,CIENCIAS BIOLOGICAS
15334,EDUCACAO FISICA
15337,ENGENHARIA DE CONTROLE E AUTOMACAO
15338,ADMINISTRACAO
15339,CIENCIAS CONTABEIS
15340,CIENCIAS ECONOMICAS
15342,DIREITO
15343,MEDICINA
15345,ODONTOLOGIA
15346,PSICOLOGIA
15347,SERVICO SOCIAL
15349,HISTORIA
15350,ENGENHARIA CIVIL
15352,MATEMATICA
15354,ENGENHARIA ELETRICA E ELETRONICA
15355,FISICA
15356,ARQUITETURA E URBANISMO
19661,GEOGRAFIA
19662,FISIOTERAPIA
19663,ENGENHARIA DE PRODUCAO MECANICA
21440,ENGENHARIA AMBIENTAL E SANITARIA
21450,CIENCIAS BIOLOGICAS
24754,RELACÕES PUBLICAS
26963,PUBLICIDADE E PROPAGANDA
27744,JORNALISMO
31198,LETRAS   LINGUA PORTUGUESA
43710,LETRAS   LINGUA PORTUGUESA
64852,ENGENHARIA DE ALIMENTOS
64854,PEDAGOGIA
84419,ENGENHARIA AERONAUTICA
113697,ENGENHARIA MECANICA
113937,SISTEMAS DE INFORMACAO
120836,COMERCIO EXTERIOR
1120717,EDUCACAO FISICA
1142424,ANALISE E DESENVOLVIMENTO DE SISTEMAS
1147190,ENGENHARIA DE COMPUTACAO
1152580,CIENCIAS BIOLOGICAS
1152585,EDUCACAO FISICA
1152586,PEDAGOGIA
1152588,ARTES VISUAIS
1152589,FILOSOFIA
1152590,HISTORIA
1152591,MATEMATICA
1152592,QUIMICA
1152593,SOCIOLOGIA
1152595,GESTAO COMERCIAL
1152596,GESTAO DE RECURSOS HUMANOS
1152597,PROCESSOS GERENCIAIS
1152678,LOGISTICA
1152889,GEOGRAFIA
1153188,ENFERMAGEM
1153311,AGRONOMIA
1181219,NUTRICAO
1202223,ESTETICA E COSMETICA
1202226,QUIMICA
1202232,RADIOLOGIA
1202233,ENGENHARIA DE ENERGIAS
1321336,GEOGRAFIA   PROGRAMA SEGUNDA LICENCIATURA
1321343,ARTES VISUAIS   PROGRAMA SEGUNDA LICENCIATURA
1321344,SEGUNDA LICENCIATURA EM PEDAGOGIA PARA PROFESSORES EM EXERCICIO NA EDUCACAO BASICA PUBLICA
1363208,FISICA
1363719,AGROECOLOGIA
1382816,LETRAS   LINGUA PORTUGUESA
1385318,HISTORIA   PROGRAMA SEGUNDA LICENCIATURA
1385337,MATEMATICA   PROGRAMA SEGUNDA LICENCIATURA
1385367,FILOSOFIA   PROGRAMA SEGUNDA LICENCIATURA
1385372,QUIMICA   PROGRAMA SEGUNDA LICENCIATURA
1385373,SOCIOLOGIA   PROGRAMA SEGUNDA LICENCIATURA
1385496,ADMINISTRACAO
1425255,MUSICA
5001182,APICULTURA E MELIPONICULTURA
15402,LETRAS   LINGUA PORTUGUESA
15403,ENFERMAGEM
15404,ENGENHARIA CIVIL
15405,CIENCIAS CONTABEIS
15406,ADMINISTRACAO
15407,CIENCIAS ECONOMICAS
15408,ODONTOLOGIA
15409,HISTORIA
15410,CIENCIAS BIOLOGICAS
15411,GEOGRAFIA
15412,PEDAGOGIA
15413,MATEMATICA
15414,LETRAS   FRANCES
15415,LETRAS   INGLES
15416,LETRAS   ESPANHOL
18311,FISICA
18312,EDUCACAO FISICA
19045,DIREITO
21111,ENGENHARIA DE ALIMENTOS
21112,FARMACIA
21114,CIENCIAS BIOLOGICAS
21115,FISICA
64706,MEDICINA
64710,ENGENHARIA DE COMPUTACAO
1157240,QUIMICA
1158382,FILOSOFIA
1158384,MUSICA
1183082,PSICOLOGIA
1185074,AGRONOMIA
1404952,PEDAGOGIA
1405020,MATEMATICA
5001302,LETRAS   PORTUGUES
15436,ANALISE E DESENVOLVIMENTO DE SISTEMAS
15437,CIENCIAS CONTABEIS
15438,ADMINISTRACAO
22116,TURISMO
48910,SISTEMAS DE INFORMACAO
118706,ENFERMAGEM
119184,EDUCACAO FISICA
1052914,GESTAO AMBIENTAL
15443,CIENCIAS CONTABEIS
15444,CIENCIAS ECONOMICAS
15445,ADMINISTRACAO
15448,DIREITO
98957,CIENCIA DA COMPUTACAO
106964,PEDAGOGIA
107112,COMUNICACAO SOCIAL
109644,GASTRONOMIA
109646,DESIGN DE MODA
109648,GESTAO AMBIENTAL
109650,GESTAO DE SEGURANCA PRIVADA
109652,LOGISTICA
119261,ESTETICA E COSMETICA
119263,GESTAO FINANCEIRA
1321593,ORGANIZACAO DE SERVICOS JUDICIARIOS
1427593,DEFESA CIBERNETICA
1427594,ANALISE E DESENVOLVIMENTO DE SISTEMAS
1427595,JOGOS DIGITAIS
1427598,SEGURANCA NO TRANSITO
1427601,AGRIMENSURA
1427604,MARKETING
1427607,GESTAO COMERCIAL
1438262,DESIGN DE ANIMACAO
15456,ADMINISTRACAO
15457,CIENCIAS CONTABEIS
18727,CIENCIAS ECONOMICAS
19911,PEDAGOGIA
19939,EDUCACAO FISICA
19940,NUTRICAO
20406,ODONTOLOGIA
20432,TURISMO
20433,DIREITO
20459,FARMACIA
27292,JORNALISMO
47706,ENFERMAGEM
47708,FISIOTERAPIA
47712,FONOAUDIOLOGIA
47714,MEDICINA VETERINARIA
47716,ARQUITETURA E URBANISMO
47718,ENGENHARIA CIVIL
47720,ENGENHARIA DE PRODUCAO
49060,MEDICINA
54735,PSICOLOGIA
60980,CIENCIAS BIOLOGICAS
61012,LETRAS   LINGUA PORTUGUESA
69911,SERVICO SOCIAL
69914,LOGISTICA
86428,HISTORIA
98910,PETROLEO E GAS
108222,SEGURANCA NO TRABALHO
108224,ENGENHARIA AMBIENTAL
1295393,CONSTRUCAO DE EDIFICIOS
1295395,COMUNICACAO SOCIAL   PUBLICIDADE E PROPAGANDA
1349110,BIOMEDICINA
1349111,ENGENHARIA ELETRICA
1438388,GESTAO DE RECURSOS HUMANOS
15461,ENGENHARIA CIVIL
15468,DIREITO
15471,PEDAGOGIA
15474,ADMINISTRACAO
15475,MEDICINA
15476,ODONTOLOGIA
15480,FARMACIA
15485,ADMINISTRACAO
15487,ENGENHARIA ELETRICA
15489,ENGENHARIA MECANICA
15490,ENGENHARIA DA COMPUTACAO
20704,PEDAGOGIA
21606,ENFERMAGEM
21607,FISIOTERAPIA
21608,ARQUITETURA E URBANISMO
28489,PSICOLOGIA
52040,ADMINISTRACAO
52052,ENGENHARIA ELETRICA
52054,ENGENHARIA MECANICA
74855,ENGENHARIA AMBIENTAL E SANITARIA
74857,ENGENHARIA DE PRODUCAO
85011,FARMACIA
97943,CIENCIAS CONTABEIS
97960,LOGISTICA
97964,PROCESSOS GERENCIAIS
120991,PSICOLOGIA
1177678,ENGENHARIA QUIMICA
1177739,ENGENHARIA DE PRODUCAO
1177740,ENGENHARIA QUIMICA
1177741,GASTRONOMIA
1179871,ENGENHARIA DE PRODUCAO
1181405,ENGENHARIA AMBIENTAL E SANITARIA
1203355,BIOMEDICINA
1265877,ANALISE E DESENVOLVIMENTO DE SISTEMAS
1279711,PSICOLOGIA
1282909,ENGENHARIA CIVIL
1304075,PROCESSOS GERENCIAIS
1322235,ARQUITETURA E URBANISMO
1322236,ENGENHARIA CIVIL
1322347,GESTAO DA QUALIDADE
1342441,ARQUITETURA E URBANISMO
1342442,ENGENHARIA QUIMICA
1428199,ENGENHARIA DE COMPUTACAO
1428323,BIOMEDICINA
1428330,ENGENHARIA ELETRICA
1428331,CIENCIAS CONTABEIS
1428352,NUTRICAO
5000873,DIREITO
5000882,DIREITO
15536,ARQUITETURA E URBANISMO
15542,ADMINISTRACAO
15543,ANALISE E DESENVOLVIMENTO DE SISTEMAS
15544,CIENCIAS BIOLOGICAS
15545,MATEMATICA
15547,LETRAS   PORTUGUES E INGLES E RESPECTIVAS LITERATURAS
15550,AGRONOMIA
15554,MEDICINA VETERINARIA
15555,CIENCIA DA COMPUTACAO
18501,FARMACIA
18502,ODONTOLOGIA
19069,DIREITO
19071,FISIOTERAPIA
24594,COMUNICACAO SOCIAL   PUBLICIDADE E PROPAGANDA
32167,JORNALISMO
39415,MEDICINA
39461,PSICOLOGIA
41701,ENGENHARIA DA COMPUTACAO
41712,ENGENHARIA ELETRICA
41746,ENGENHARIA CIVIL
50154,ENFERMAGEM
50380,PEDAGOGIA
60729,EDUCACAO FISICA
65980,REDES DE COMPUTADORES
67605,NUTRICAO
75363,PRODUCAO MULTIMIDIA
87237,LETRAS   INGLES
87280,PEDAGOGIA
87284,ADMINISTRACAO
89309,CIENCIAS CONTABEIS
93811,ESTETICA E COSMETICA
97567,MARKETING
97573,SERVICO SOCIAL
98029,SERVICO SOCIAL
105150,CIENCIAS CONTABEIS
106904,DESIGN DE MODA
107014,GESTAO DE RECURSOS HUMANOS
107016,LOGISTICA
111718,ENFERMAGEM
122666,GESTAO FINANCEIRA
315544,CIENCIAS BIOLOGICAS
360729,EDUCACAO FISICA
1106737,GASTRONOMIA
1107827,GESTAO COMERCIAL
1107828,GESTAO PUBLICA
1107875,GESTAO HOSPITALAR
1108026,PROCESSOS GERENCIAIS
1194058,ANALISE E DESENVOLVIMENTO DE SISTEMAS
1284834,ENGENHARIA AMBIENTAL
1295689,ENGENHARIA CIVIL
1295876,ENGENHARIA DE PRODUCAO
1296028,ENGENHARIA ELETRICA
1296068,ENGENHARIA MECANICA
1298413,GEOGRAFIA
1298770,HISTORIA
1298841,MATEMATICA
1314382,EDUCACAO FISICA
1314992,GESTAO AMBIENTAL
1318197,ESTETICA E IMAGEM PESSOAL
1318199,ENGENHARIA DE COMPUTACAO
1363727,GESTAO DA PRODUCAO INDUSTRIAL
1364174,BIOMEDICINA
1364307,EMBELEZAMENTO E IMAGEM PESSOAL
1371981,RELACÕES INTERNACIONAIS
1382614,ARQUITETURA E URBANISMO
1382615,EDUCACAO FISICA
1382617,EMPREENDEDORISMO
1382618,SEGURANCA PUBLICA
1382619,DESIGN DE INTERIORES
1382623,NUTRICAO
1382641,MARKETING DIGITAL
1382659,CIENCIAS ECONOMICAS
1382661,SEGURANCA NO TRABALHO
1382662,ESTETICA E COSMETICA
1382663,SOCIOLOGIA
1404178,ARTES VISUAIS
1404179,CIENCIAS BIOLOGICAS
1419647,AGRONOMIA
1419648,FISICA
1419674,FISIOTERAPIA
1419675,LETRAS   PORTUGUES
1419676,LETRAS   PORTUGUES E ESPANHOL
1419677,QUIMICA
1427540,SERVICOS JURIDICOS
15592,ENGENHARIA CIVIL
15593,ENGENHARIA ELETRICA
18252,ENGENHARIA DE COMPUTACAO
46900,ENGENHARIA MECANICA
1059600,ENGENHARIA MECATRONICA
1119031,ENGENHARIA QUIMICA
1119044,ENGENHARIA DE PRODUCAO
1279658,JOGOS DIGITAIS
1300361,ENGENHARIA DE ALIMENTOS
1300363,ENGENHARIA AGRONOMICA
1365935,ARQUITETURA E URBANISMO
15597,DIREITO
15598,ADMINISTRACAO
15599,ARTES VISUAIS
15603,PEDAGOGIA
15604,CIENCIAS CONTABEIS
15605,EDUCACAO FISICA
15606,ARQUITETURA E URBANISMO
15607,CIENCIAS BIOLOGICAS
15608,CIENCIA DA COMPUTACAO
20871,FISIOTERAPIA
30786,PSICOLOGIA
42332,PSICOLOGIA
52270,BIOMEDICINA
56585,NUTRICAO
63962,FARMACIA
63965,MEDICINA VETERINARIA
63982,CIENCIAS BIOLOGICAS
71355,ENFERMAGEM
81954,PRODUCAO AGRICOLA
81956,ESTETICA E COSMETICA
87182,ODONTOLOGIA
91701,NEGOCIOS IMOBILIARIOS
91705,PRODUCAO PUBLICITARIA
91707,ADMINISTRACAO
91795,PEDAGOGIA
98006,CIENCIAS CONTABEIS
98008,LETRAS   LINGUA PORTUGUESA
100636,TEOLOGIA
100750,AGRONOMIA
100754,COMUNICACAO SOCIAL   PUBLICIDADE E PROPAGANDA
109830,ANALISE E DESENVOLVIMENTO DE SISTEMAS
122394,SERVICO SOCIAL
122396,AGRONEGOCIO
315605,EDUCACAO FISICA
1146354,RADIOLOGIA
1146356,ENGENHARIA CIVIL
1321422,DESIGN DE INTERIORES
1321638,ENGENHARIA MECANICA
1323168,GESTAO DE RECURSOS HUMANOS
1330554,ESTETICA E COSMETICA
1334997,LOGISTICA
1349238,GASTRONOMIA
1360962,ENGENHARIA DE SOFTWARE
1363812,EDUCACAO FISICA
1396092,PROCESSOS GERENCIAIS
1396106,GESTAO COMERCIAL
1396228,MATEMATICA
1396230,GEOGRAFIA
1396231,HISTORIA
1400729,GESTAO DE TURISMO
1405061,MARKETING
1411304,ENGENHARIA DE PRODUCAO
1411346,ENGENHARIA DE SOFTWARE
1419681,EDUCACAO FISICA
1428478,DESIGN DE INTERIORES
1428482,LETRAS   PORTUGUES E INGLES
1438247,SERVICOS JURIDICOS
1442157,SEGUNDA LICENCIATURA EM PEDAGOGIA
1442158,FORMACAO PEDAGOGICA PARA PORTADORES DE ENSINO SUPERIOR
15627,HISTORIA
15628,GEOGRAFIA
15629,MATEMATICA
34835,LETRAS   PORTUGUES E INGLES
113391,FISICA
113393,CIENCIAS BIOLOGICAS
150248,LETRAS   PORTUGUES E ESPANHOL
1333652,PEDAGOGIA
1416795,FARMACIA
1417984,ADMINISTRACAO
1427469,EDUCACAO FISICA
15644,FISIOTERAPIA
105978,ADMINISTRACAO
74153,ENGENHARIA DE TELECOMUNICACÕES
87496,ENGENHARIA AMBIENTAL E SANITARIA
90661,DIREITO
94363,PEDAGOGIA
94365,HISTORIA
94367,GEOGRAFIA
95149,ENGENHARIA ELETRICA
95153,ENGENHARIA DE PRODUCAO
105988,CIENCIAS CONTABEIS
113210,AGRONOMIA
119936,ENGENHARIA CIVIL
123155,ENGENHARIA DE MINAS
1056403,GEOLOGIA
1203184,ENGENHARIA MECATRONICA
1279872,ENGENHARIA DE AGRIMENSURA E CARTOGRAFICA
15706,BIOLOGIA
15707,HISTORIA
15708,LETRAS
15709,MATEMATICA
15710,GEOGRAFIA
29508,LETRAS   INGLES
85348,ENFERMAGEM
1177389,PEDAGOGIA
1264960,ADMINISTRACAO
1330077,PSICOLOGIA
1395862,ENGENHARIA DE PRODUCAO
1425215,EDUCACAO FISICA
15716,ADMINISTRACAO
122813,CIENCIAS CONTABEIS
1258776,FISICA
1258814,MATEMATICA
1258815,PEDAGOGIA
1331001,DIREITO
15734,ADMINISTRACAO
15737,HISTORIA
15738,GEOGRAFIA
15739,AGRONOMIA
15740,LETRAS   PORTUGUES E LITERATURAS DA LINGUA PORTUGUESA
15742,ENFERMAGEM
15743,ZOOTECNIA
15744,CIENCIAS CONTABEIS
18506,EDUCACAO FISICA
18674,COMUNICACAO SOCIAL   JORNALISMO
19039,PEDAGOGIA
19040,PEDAGOGIA
19041,PEDAGOGIA
19042,CIENCIA DA COMPUTACAO
20262,CIENCIAS BIOLOGICAS
20264,DIREITO
20266,CIENCIA ECONOMICA
20270,CIENCIAS BIOLOGICAS
20274,FISIOTERAPIA
20275,ENGENHARIA DE ALIMENTOS
20577,QUIMICA
20578,MATEMATICA
29510,LETRAS MODERNAS   PORTUGUES/INGLES E RESPECTIVAS LITERATURAS
31206,LETRAS VERNACULAS   PORTUGUES E RESPECTIVAS LITERATURAS
38678,MATEMATICA
38881,CIENCIAS BIOLOGICAS
49517,FISICA
80010,ODONTOLOGIA
80037,MEDICINA
83323,QUIMICA
83326,ENGENHARIA AMBIENTAL
91345,ENGENHARIA FLORESTAL
91749,QUIMICA
91779,PEDAGOGIA
91783,PEDAGOGIA
94641,CIENCIAS BIOLOGICAS
97778,SISTEMA DE INFORMACAO
104584,FARMACIA
150044,EDUCACAO FISICA   PROGRAMA DE FORMACAO INICIAL DE PROFESSORES   PARA ATUACAO NO ENSINO FUNDAMENTAL E MEDIO
150052,CIENCIAS BIOLOGICAS
150053,CIENCIAS BIOLOGICAS
150054,CINEMA E AUDIOVISUAL
1146603,QUIMICA
1146605,MEDICINA
1146611,FILOSOFIA
1168149,FISICA
1188088,PSICOLOGIA
1188200,TEATRO
1188201,DANCA
1214163,CIENCIAS SOCIAIS
1382823,PEDAGOGIA   PROGRAMA DE FORMACAO INICIAL DE PROFESSORES PARA ATUACAO NA EDUCACAO INFANTIL E ANOS INICIAIS DO ENSINO FUNDAMENTAL
15772,ADMINISTRACAO DE EMPRESAS
15773,CIENCIAS CONTABEIS
37862,CIENCIA DA COMPUTACAO
37864,SECRETARIADO EXECUTIVO
83122,TURISMO
83124,ECONOMIA
83126,DIREITO
83128,COMERCIO EXTERIOR
1267239,SERVICO SOCIAL
1286381,GESTAO DA TECNOLOGIA DA INFORMACAO
15778,TEATRO
15779,ARQUIVOLOGIA
15780,BIBLIOTECONOMIA
15781,MUSEOLOGIA
15782,ENFERMAGEM
15783,MEDICINA
15784,NUTRICAO
15785,PEDAGOGIA
15786,CIENCIAS BIOLOGICAS
15788,DIREITO
15789,BIOMEDICINA
15790,MUSICA
20064,HISTORIA
20065,SISTEMAS DE INFORMACAO
24792,MUSICA   MUSICA POPULAR BRASILEIRA
26665,MUSICA   CANTO
28499,CENOGRAFIA E INDUMENTARIA
30327,DIRECAO
32015,MUSICA   COMPOSICAO
33869,MUSICA   REGENCIA
35622,INTERPRETACAO
35623,ESTETICA E TEORIA DO TEATRO
35624,MUSICA   INSTRUMENTO
57278,PEDAGOGIA
60936,TURISMO
100207,CIENCIAS BIOLOGICAS
108734,MATEMATICA
115472,ADMINISTRACAO PUBLICA
115474,CIENCIA POLITICA
119100,HISTORIA
320064,HISTORIA
1101758,SERVICO SOCIAL
1101759,LETRAS   LINGUA PORTUGUESA
1101760,LETRAS   LINGUA PORTUGUESA
1101761,BIBLIOTECONOMIA
1101762,FILOSOFIA
1101763,FILOSOFIA
1101770,MATEMATICA
1101775,CIENCIAS AMBIENTAIS
1101776,ENGENHARIA DE PRODUCAO
1103343,CIENCIAS DA NATUREZA
1128934,PEDAGOGIA
1160031,NUTRICAO
1163653,BIOLOGIA
1164822,BIBLIOTECONOMIA
1173591,TURISMO
1278733,CIENCIAS SOCIAIS
5000550,MUSEOLOGIA
15830,ADMINISTRACAO
15831,CIENCIAS BIOLOGICAS
15832,FISICA
15833,MATEMATICA
15834,QUIMICA
15836,EDUCACAO FISICA
15837,ENGENHARIA CIVIL
15838,FARMACIA
15839,MEDICINA
15840,MEDICINA VETERINARIA
15841,ODONTOLOGIA
15842,PEDAGOGIA
15844,GEOGRAFIA
15845,HISTORIA
15847,ADMINISTRACAO
15848,CIENCIAS CONTABEIS
15849,HISTORIA
15851,PEDAGOGIA
15852,PSICOLOGIA
15858,GEOGRAFIA
15859,HISTORIA
15861,PEDAGOGIA
15862,MATEMATICA
15863,CIENCIAS BIOLOGICAS
15864,GEOGRAFIA
15865,MATEMATICA
15866,CIENCIAS BIOLOGICAS
15867,CIENCIAS CONTABEIS
15869,CIENCIA DA COMPUTACAO
15870,ENGENHARIA ELETRICA
15873,CIENCIAS ECONOMICAS
15874,ENFERMAGEM
15877,ADMINISTRACAO
18381,CIENCIAS BIOLOGICAS
18382,MATEMATICA
18383,PEDAGOGIA
18385,DIREITO
18386,DIREITO
18387,SISTEMAS DE INFORMACAO
21543,ARQUITETURA E URBANISMO
21544,CIENCIAS SOCIAIS
21545,ENGENHARIA AMBIENTAL
21546,TURISMO
21826,ENFERMAGEM
22508,LETRAS   PORTUGUES E INGLES
26668,LETRAS   PORTUGUES E INGLES
27423,ARTES VISUAIS
27696,LETRAS   PORTUGUES E INGLES
28743,LETRAS   PORTUGUES E ESPANHOL
29511,LETRAS   PORTUGUES E LITERATURA
29512,LETRAS   PORTUGUES E INGLES
31210,JORNALISMO
36348,ARTES VISUAIS
52070,LETRAS   PORTUGUES E ESPANHOL
52092,QUIMICA TECNOLOGICA
52101,ZOOTECNIA
52121,HISTORIA
52125,PSICOLOGIA
52128,DIREITO
52130,ADMINISTRACAO
52136,ADMINISTRACAO
52139,MATEMATICA
52141,PSICOLOGIA
52142,HISTORIA
52145,LETRAS   PORTUGUES E ESPANHOL
55838,PEDAGOGIA
59103,MUSICA
59109,SISTEMAS DE INFORMACAO
101290,AGRONOMIA
101300,HISTORIA
101309,LETRAS   PORTUGUES
110748,LETRAS   PORTUGUES E ESPANHOL
115542,FISIOTERAPIA
121788,ADMINISTRACAO
121792,MATEMATICA
121794,SISTEMAS DE INFORMACAO
121796,CIENCIAS SOCIAIS
121798,PEDAGOGIA
122174,LETRAS   PORTUGUES E ESPANHOL
122904,ENGENHARIA DE PRODUCAO
122906,EDUCACAO FISICA
122908,ADMINISTRACAO
123176,LETRAS   PORTUGUES E ESPANHOL
123177,MATEMATICA
315831,CIENCIAS BIOLOGICAS
315832,FISICA
315844,GEOGRAFIA
315858,GEOGRAFIA
1111636,ENFERMAGEM
1111850,ENGENHARIA FLORESTAL
1111968,ELETROTECNICA INDUSTRIAL
1111969,FILOSOFIA
1111970,PROCESSOS GERENCIAIS
1111971,ANALISE E DESENVOLVIMENTO DE SISTEMAS
1111972,REDES DE COMPUTADORES
1113852,SISTEMAS DE INFORMACAO
1113854,CIENCIA DA COMPUTACAO
1113886,SISTEMAS DE INFORMACAO
1128343,ENGENHARIA DE COMPUTACAO
1128349,ENGENHARIA DE PRODUCAO
1128355,ENGENHARIA CIVIL
1128358,SANEAMENTO AMBIENTAL
1128361,CONSTRUCAO DE EDIFICIOS
1128362,GEOGRAFIA
1128365,NUTRICAO
1128367,ALIMENTOS
1159054,CIENCIAS BIOLOGICAS
1168942,GESTAO FINANCEIRA
1184985,ADMINISTRACAO PUBLICA
1260511,GEOGRAFIA
1260720,EDUCACAO FISICA
1264844,MEDICINA
1268283,CIENCIAS CONTABEIS
1269875,EDUCACAO DO CAMPO
1269879,TURISMO
1270651,PEDAGOGIA
1278593,ENGENHARIA DE PRODUCAO
1292684,PEDAGOGIA
1292924,LETRAS   PORTUGUES
1312989,LICENCIATURA INTERCULTURAL INDIGENA
1313206,ENGENHARIA DE SOFTWARE
1351543,ADMINISTRACAO
1366344,CIENCIAS CONTABEIS
1409703,ADMINISTRACAO
1419907,EDUCACAO FISICA
15987,CIENCIAS ECONOMICAS
15988,ADMINISTRACAO
15989,CIENCIAS CONTABEIS
15990,EDUCACAO FISICA
15992,HISTORIA
15994,GEOGRAFIA
15995,DIREITO
15998,ENFERMAGEM
16000,CIENCIAS CONTABEIS
16002,PEDAGOGIA
16003,LETRAS   PORTUGUES
16004,LETRAS
16007,PEDAGOGIA
16008,ADMINISTRACAO
16009,MATEMATICA
16010,MATEMATICA
16011,FISICA
16012,DIREITO
16016,CIENCIAS CONTABEIS
18363,CIENCIAS BIOLOGICAS
18882,COMPUTACAO
20940,LETRAS   ESPANHOL
20941,LETRAS   INGLES
24087,PSICOLOGIA
24092,ADMINISTRACAO
28509,LETRAS   PORTUGUES
43743,PEDAGOGIA
44076,PEDAGOGIA
51699,MEDICINA
58075,AGRONOMIA
58082,QUIMICA
58084,JORNALISMO
62083,PEDAGOGIA
85458,CIENCIAS SOCIAIS
100289,FISICA
100292,ENGENHARIA ELETRICA
100719,ENGENHARIA AMBIENTAL
107866,PEDAGOGIA
107868,LETRAS   PORTUGUES
116712,ARQUEOLOGIA
116718,BIBLIOTECONOMIA
116727,ENGENHARIA CIVIL
116732,FILOSOFIA
116734,ENGENHARIA FLORESTAL
116738,EDUCACAO BASICA INTERCULTURAL
116746,ESTATISTICA
116776,ENGENHARIA DE ALIMENTOS
116782,PEDAGOGIA
122752,ADMINISTRACAO
122758,HISTORIA
122760,GESTAO AMBIENTAL
123553,MUSICA
123567,ARTES VISUAIS
123584,TEATRO
150273,MEDICINA VETERINARIA
315992,HISTORIA
315994,GEOGRAFIA
318363,CIENCIAS BIOLOGICAS
318882,CIENCIA DA COMPUTACAO
1106843,ENGENHARIA DE PRODUCAO
1114212,FISICA
1125764,ADMINISTRACAO PUBLICA
1300418,EDUCACAO DO CAMPO
1321567,ZOOTECNIA
1331483,LETRAS   LIBRAS
5001242,ENGENHARIA DE PESCA
16090,ADMINISTRACAO
1377614,GESTAO DE RECURSOS HUMANOS
16092,HISTORIA
104398,CIENCIAS BIOLOGICAS
104400,MATEMATICA
114157,PEDAGOGIA
150259,EDUCACAO FISICA
1179164,ADMINISTRACAO
1327340,LETRAS
1367868,DIREITO
1376259,EDUCACAO FISICA
16100,LETRAS
16101,CIENCIAS
16103,HISTORIA
1216372,PEDAGOGIA
1216375,MATEMATICA
16108,AGRONOMIA
1216373,GESTAO AMBIENTAL
16110,ADMINISTRACAO
18213,CIENCIAS CONTABEIS
19607,SISTEMA DE INFORMACAO
22109,ODONTOLOGIA
47558,CIENCIAS BIOLOGICAS
50227,TURISMO
53511,DIREITO
55236,PEDAGOGIA
110262,FISIOTERAPIA
347559,CIENCIAS BIOLOGICAS
1260421,ENFERMAGEM
1260876,EDUCACAO FISICA
1260890,EDUCACAO FISICA
1330854,ENGENHARIA DE PRODUCAO
24098,ARTES CENICAS
26682,ARTES VISUAIS
30477,EDUCACAO ARTISTICA
16119,ADMINISTRACAO
16120,CIENCIAS CONTABEIS
16125,PEDAGOGIA
21554,ENGENHARIA ELETRICA
56438,FISIOTERAPIA
56440,NUTRICAO
63604,ENGENHARIA DE PRODUCAO
63606,FARMACIA
68685,ARQUITETURA E URBANISMO
74234,DIREITO
74870,ENFERMAGEM
97529,BIOMEDICINA
104475,ENGENHARIA DE COMPUTACAO
105878,MANUTENCAO DE AERONAVES
109199,COMUNICACAO SOCIAL   PUBLICIDADE E PROPAGANDA
112850,EDUCACAO FISICA
117554,PSICOLOGIA
368683,CIENCIAS BIOLOGICAS
1069370,PEDAGOGIA
1155655,ENGENHARIA CIVIL
1261569,MEDICINA VETERINARIA
1261581,ENGENHARIA AGRONOMICA
1261584,GESTAO DA TECNOLOGIA DA INFORMACAO
1261586,GESTAO DE RECURSOS HUMANOS
1330303,ODONTOLOGIA
16170,FISIOTERAPIA
30338,PSICOLOGIA
104746,BIOMEDICINA
150055,NUTRICAO
1152939,ADMINISTRACAO
1153894,ESTETICA
1154113,GASTRONOMIA
1154355,HOTELARIA
1156470,FISIOTERAPIA
1156472,BIOMEDICINA
1156475,NUTRICAO
1156476,ADMINISTRACAO
1156478,ESTETICA
1159868,PSICOLOGIA
1160164,ENFERMAGEM
1161188,EDUCACAO FISICA
1167494,ENFERMAGEM
1174327,PUBLICIDADE E PROPAGANDA
1174565,RELACÕES INTERNACIONAIS
1174756,RELACÕES INTERNACIONAIS
1175368,GESTAO DE RECURSOS HUMANOS
1175715,GESTAO DE RECURSOS HUMANOS
1176892,MARKETING
1176944,MARKETING
1177239,CIENCIAS CONTABEIS
1322004,JORNALISMO
1341667,ARQUITETURA E URBANISMO
1341672,DESIGN GRAFICO
1341675,JOGOS DIGITAIS
