CO_CURSO,NO_CURSO
5001044,ABI   MUSICA
5001045,ABI   PSICOLOGIA
5001148,ABI   MATEMATICA
5001149,ABI   LETRAS FRANCES
5001150,ABI   LETRAS INGLES
5001151,ABI   LETRAS   LINGUA PORTUGUESA
294,ENGENHARIA CIVIL
295,ENGENHARIA QUIMICA
297,MATEMATICA
299,QUIMICA INDUSTRIAL
302,ENFERMAGEM
303,MEDICINA
304,ODONTOLOGIA
306,CIENCIAS CONTABEIS
308,DIREITO
310,GEOGRAFIA
311,HISTORIA
315,PEDAGOGIA
317,CIENCIA DA COMPUTACAO
318,CIENCIAS SOCIAIS
319,ENGENHARIA AGRONOMICA
321,MATEMATICA
322,QUIMICA
326,FILOSOFIA
327,CIENCIAS BIOLOGICAS
328,GEOGRAFIA
20190,CIENCIAS BIOLOGICAS
20762,ADMINISTRACAO
20763,CIENCIAS SOCIAIS
20764,CIENCIAS ECONOMICAS
20766,ENFERMAGEM
20767,FISICA
20768,FISICA
20782,QUIMICA
22046,ESTATISTICA
40149,ENGENHARIA DE ALIMENTOS
49512,FISICA MEDICA
49673,ENGENHARIA FLORESTAL
52852,PSICOLOGIA
64064,SERVICO SOCIAL
80418,ENGENHARIA ELETRONICA
80419,ARTES VISUAIS
80420,JORNALISMO
80877,LETRAS   LINGUA PORTUGUESA
80885,LETRAS   ESPANHOL
80886,LETRAS   INGLES
80896,LETRAS   PORTUGUES E INGLES
80899,LETRAS   PORTUGUES E FRANCES
94033,ZOOTECNIA
95017,SISTEMAS DE INFORMACAO
95033,ADMINISTRACAO
95037,CIENCIAS BIOLOGICAS
95044,CIENCIAS CONTABEIS
95050,FISICA
95051,GEOGRAFIA
95053,LETRAS   LINGUA PORTUGUESA
95055,MATEMATICA
95057,PEDAGOGIA
95059,QUIMICA
98609,FARMACIA
99400,ENGENHARIA MECANICA
99402,ENGENHARIA DE MATERIAIS
99404,NUTRICAO
99406,SISTEMAS DE INFORMACAO
99408,GEOLOGIA
99409,ENGENHARIA DE PESCA
99411,FISIOTERAPIA
99413,FONOAUDIOLOGIA
99416,ENGENHARIA DE PRODUCAO
99418,SECRETARIADO EXECUTIVO
99420,TURISMO
99423,EDUCACAO FISICA
99425,MUSICA
99426,LETRAS   PORTUGUES E ESPANHOL
99444,ARQUITETURA E URBANISMO
99446,DANCA
99450,MUSEOLOGIA
99452,ARQUEOLOGIA
101666,EDUCACAO FISICA
106402,FISICA
106404,MATEMATICA
106408,QUIMICA
106411,CIENCIAS BIOLOGICAS
106416,GEOGRAFIA
106418,HISTORIA
106421,LETRAS   LINGUA PORTUGUESA
116188,ENGENHARIA DE COMPUTACAO
116192,CIENCIAS ATUARIAIS
116194,BIBLIOTECONOMIA E DOCUMENTACAO
116210,COMUNICACAO SOCIAL   AUDIOVISUAL
116216,COMUNICACAO SOCIAL   PUBLICIDADE E PROPAGANDA
116220,ENGENHARIA ELETRICA
116324,RELACÕES INTERNACIONAIS
1108064,DESIGN
1108065,ENGENHARIA AGRICOLA
1108066,ENGENHARIA AMBIENTAL E SANITARIA
1108067,MEDICINA VETERINARIA
1108149,ENFERMAGEM
1108153,MEDICINA
1108154,FARMACIA
1108158,NUTRICAO
1108163,FISIOTERAPIA
1108167,ODONTOLOGIA
1108170,FONOAUDIOLOGIA
1108172,TERAPIA OCUPACIONAL
1109547,ECOLOGIA
1109548,ENGENHARIA DE PETROLEO
1116573,ADMINISTRACAO PUBLICA
1158648,ASTRONOMIA
1182902,CIENCIAS DA RELIGIAO
1182904,MATEMATICA APLICADA E COMPUTACIONAL
1279838,LETRAS   LIBRAS
1316062,TEATRO
1321266,FILOSOFIA
1321267,LETRAS   ESPANHOL
1321268,LETRAS   INGLES
1321449,AGROINDUSTRIA
1321453,MEDICINA VETERINARIA
1321454,ZOOTECNIA
1321455,ENGENHARIA AGRONOMICA
1457514,CINEMA E AUDIOVISUAL
1457515,PUBLICIDADE E PROPAGANDA
376,DIREITO
377,SERVICO SOCIAL
378,CIENCIAS ECONOMICAS
379,MATEMATICA
380,FILOSOFIA
381,PEDAGOGIA
382,QUIMICA
383,ENGENHARIA CIVIL
385,ENGENHARIA FLORESTAL
386,ENGENHARIA DE PESCA
388,CIENCIAS CONTABEIS
389,MEDICINA
390,FARMACIA
391,ODONTOLOGIA
392,ADMINISTRACAO
393,BIBLIOTECONOMIA
394,CIENCIAS NATURAIS
395,COMUNICACAO SOCIAL   JORNALISMO
396,EDUCACAO FISICA
397,FISICA
398,CIENCIAS BIOLOGICAS
399,AGRONOMIA
400,ESTATISTICA
401,GEOLOGIA
402,HISTORIA
403,GEOGRAFIA
407,CIENCIAS SOCIAIS
2133,ENFERMAGEM
18353,PSICOLOGIA
20252,COMUNICACAO SOCIAL   RELACÕES PUBLICAS
27733,LETRAS   LINGUA E LITERATURA INGLESA
33083,LETRAS   LINGUA E LITERATURA FRANCESA
34646,LETRAS   LINGUA E LITERATURA PORTUGUESA
62484,CIENCIA DA COMPUTACAO
62486,MUSICA
62512,ARTES VISUAIS
65424,ZOOTECNIA
65426,LETRAS   LINGUA E LITERATURA ESPANHOLA
84288,ENGENHARIA DA COMPUTACAO
84526,ENGENHARIA DE PRODUCAO
101606,LETRAS   PORTUGUES E ESPANHOL
101608,ADMINISTRACAO
101610,CIENCIAS AGRARIAS E DO AMBIENTE
101612,ANTROPOLOGIA
101614,PEDAGOGIA
101618,CIENCIAS   QUIMICA E BIOLOGIA
101620,AGRONOMIA
101622,ENGENHARIA AMBIENTAL
101637,CIENCIAS   QUIMICA E BIOLOGIA
101639,PEDAGOGIA
101641,LETRAS   PORTUGUES E INGLES
101643,CIENCIAS   MATEMATICA E FISICA
101645,NUTRICAO
101647,BIOTECNOLOGIA
101651,FISIOTERAPIA
101653,ENFERMAGEM
101655,CIENCIAS   MATEMATICA E FISICA
101659,CIENCIAS   QUIMICA E BIOLOGIA
104364,EDUCACAO FISICA   TREINAMENTO ESPORTIVO
104366,EDUCACAO FISICA   PROMOCAO EM SAUDE E LAZER
104368,CIENCIAS BIOLOGICAS
112086,SISTEMA DE INFORMACAO
112088,ENGENHARIA DE PRODUCAO
112090,FARMACIA
112092,QUIMICA INDUSTRIAL
112094,CIENCIAS   QUIMICA E BIOLOGIA
112096,CIENCIAS   MATEMATICA E FISICA
112098,SERVICO SOCIAL
112100,PEDAGOGIA
112102,EDUCACAO FISICA
